appair,category,interface,position,group
hotellio::holidaybooking,Travel,PDCI,1,e
scanit::barcoda,utilities,Control,2,e
financia::moneycloud,Finance,Purpose,3,e
notely::notepadder,note-taking,Leak,4,e
bodydiary::quantifit,Health,DCI,5,e
qrchecker::barcodeqr,utilities,PDCI,6,e
moneywise::walletwach,Finance,Control,7,e
listmaker::todolist,note-taking,Purpose,8,e
bmitracker::fitnessdiary,Health,Leak,9,e
trippy::travelco,Travel,DCI,10,e
budgetpal::spendtracker,Finance,PDCI,11,e
scriber::minit,note-taking,Control,12,e
weightcount::healthio,Health,Purpose,13,e
travelsave::suntime,Travel,Leak,14,e
scanline::codescan,utilities,DCI,15,e
listy::scribbler,note-taking,PDCI,16,e
mybmi::happyheart,Health,Control,17,e
travellio::voyagee,Travel,Purpose,18,e
qright::detectcode,utilities,Leak,19,e
spendwise::prudenz,Finance,DCI,20,e
healthpal::healthdiary,Health,PDCI,21,e
tourhelp::holidayfinder,Travel,Control,22,e
QRfinder::QRpal,utilities,Purpose,23,e
myfinances::moneymanager,Finance,Leak,24,e
postit::yonote,note-taking,DCI,25,e
