appair,category,interface,position,group
hotellio::holidaybooking,Travel,Purpose,1,b
scanit::barcoda,utilities,Leak,2,b
financia::moneycloud,Finance,DCI,3,b
notely::notepadder,note-taking,PDCI,4,b
bodydiary::quantifit,Health,Control,5,b
qrchecker::barcodeqr,utilities,Purpose,6,b
moneywise::walletwach,Finance,Leak,7,b
listmaker::todolist,note-taking,DCI,8,b
bmitracker::fitnessdiary,Health,PDCI,9,b
trippy::travelco,Travel,Control,10,b
budgetpal::spendtracker,Finance,Purpose,11,b
scriber::minit,note-taking,Leak,12,b
weightcount::healthio,Health,DCI,13,b
travelsave::suntime,Travel,PDCI,14,b
scanline::codescan,utilities,Control,15,b
listy::scribbler,note-taking,Purpose,16,b
mybmi::happyheart,Health,Leak,17,b
travellio::voyagee,Travel,DCI,18,b
qright::detectcode,utilities,PDCI,19,b
spendwise::prudenz,Finance,Control,20,b
healthpal::healthdiary,Health,Purpose,21,b
tourhelp::holidayfinder,Travel,Leak,22,b
QRfinder::QRpal,utilities,DCI,23,b
myfinances::moneymanager,Finance,PDCI,24,b
postit::yonote,note-taking,Control,25,b

