appair,category,interface,position,group
hotellio::holidaybooking,Travel,DCI,1,d
scanit::barcoda,utilities,PDCI,2,d
financia::moneycloud,Finance,Control,3,d
notely::notepadder,note-taking,Purpose,4,d
bodydiary::quantifit,Health,Leak,5,d
qrchecker::barcodeqr,utilities,DCI,6,d
moneywise::walletwach,Finance,PDCI,7,d
listmaker::todolist,note-taking,Control,8,d
bmitracker::fitnessdiary,Health,Purpose,9,d
trippy::travelco,Travel,Leak,10,d
budgetpal::spendtracker,Finance,DCI,11,d
scriber::minit,note-taking,PDCI,12,d
weightcount::healthio,Health,Control,13,d
travelsave::suntime,Travel,Purpose,14,d
scanline::codescan,utilities,Leak,15,d
listy::scribbler,note-taking,DCI,16,d
mybmi::happyheart,Health,PDCI,17,d
travellio::voyagee,Travel,Control,18,d
qright::detectcode,utilities,Purpose,19,d
spendwise::prudenz,Finance,Leak,20,d
healthpal::healthdiary,Health,DCI,21,d
tourhelp::holidayfinder,Travel,PDCI,22,d
QRfinder::QRpal,utilities,Control,23,d
myfinances::moneymanager,Finance,Purpose,24,d
postit::yonote,note-taking,Leak,25,d
